0,UKXRHGPOLG,Armand Enderle,2/8/1953,Australia
1,KWYACFZRQU,Alberto Scarlett,8/4/1953,Morocco
2,TBUAKDYKOQ,Wyatt Ruoff,1/18/1954,India
3,RHHSVGIUJX,Alfonso Denmark,4/30/1956,UK
4,TZHCHWYBAS,Pearl Straube,5/31/1957,Australia
5,OYCRTFUMXF,Vincent Wohlwend,11/7/1960,Egypt
6,SVIMUKDRBJ,Breanne Flick,12/26/1960,South Africa
7,MORKPMFLPV,Annette Onken,9/3/1961,India
8,GLUKKKSGJK,Dorothy Sherk,12/24/1964,Australia
9,GSUMWRWJLB,Ina Lecroy,3/1/1966,Canada
10,TSDTEDWEUA,Alane Piland,6/28/1967,Brazil
11,VNKSBHISOL,Alline Bodiford,4/30/1972,UK
12,HVZLUKIUNN,Nova Imburgia,11/3/1972,Croatia
13,CVJIBHSSWX,Tomeka Amerson,3/28/1973,Canada
14,OZMVGRBEIC,Drusilla Kogan,3/20/1976,USA
15,YPFCWHNMGB,Lloyd Woodruff,11/11/1976,Austria
16,YTQVFWCRXH,Connie Smolen,5/18/1983,Austria
17,YMQVNCHGUT,Maryetta Palmateer,6/17/1988,Belgium
18,ZALRQGKWUY,Krystle Trembath,8/6/1988,UK
19,GQJYHSXOTZ,Julieta Marts,10/25/1989,Japan
20,SHAZOHKNBA,Clelia Hodgins,11/9/1990,Australia
21,ZTFXXUNZBG,Willie Woodham,1/1/1992,UK
22,RUFOYOUOHQ,Aimee Vanderploeg,12/13/1993,Canada
23,XURGUQUAGR,Veronika Luoma,8/21/1994,France
24,QZRFXGNGWB,Clyde Knell,12/14/1997,Colombia
25,IINOMQMWKI,Yvonne Honig,10/1/1953,Turkey
26,IOWRYIVRYI,Leeanne Sauer,10/21/1953,South Africa
27,GUVGETGZKJ,Sharita Medellin,9/20/1954,Italy
28,OFYTWKAJRI,Antione Nuttall,9/21/1954,Croatia
29,APRQMAKVOF,Melonie Helmers,9/8/1955,Morocco
30,JSQWSNELGA,Britt Jarrett,5/27/1959,Morocco
31,XLBAXPHDOW,Geri Bermudes,6/1/1959,Austria
32,UWBJCFXHRJ,Estela Covington,11/30/1961,Italy
33,NDSDWTMZBK,Anneliese Rinaldi,6/26/1964,Croatia
34,NDRYUTWCMX,Frankie Husted,3/4/1969,Morocco
35,VEZNHOANTW,Nelia Kernan,7/3/1971,India
36,ANTOSNRHQQ,Thu Fuentes,3/18/1972,Mexico
37,ORGSBWIGIY,Candie Olivarria,5/12/1977,Spain
38,OSDYSPVWPM,Linnea Pundt,3/31/1979,Japan
39,QNRNEAJVIO,Leandro Caudillo,2/10/1981,Croatia
40,AWEUINEORE,Hien Montufar,5/28/1983,Japan
41,NLLEIYZKEX,Harley Cano,4/14/1984,New Zealand
42,XLIQMGOTEP,Abbey Bolds,7/1/1986,Belgium
43,HRHVXNYSRX,Sonia Effler,6/26/1990,USA
44,MYDFDAQWVP,Rita Mcclain,7/6/1990,Greece
45,RGFPPRVXKR,Adele Stjean,7/17/1990,Morocco
46,UHOMGENOIE,Yasmin Vento,9/1/1992,Morocco
47,AHKMFFUUJK,Mari Laxson,9/11/1993,Brazil
48,FDNTXSSQWH,Felisha Godoy,7/10/1995,Germany
49,BLHZEACJPZ,Isabelle Pasillas,6/30/1999,India
50,FYOOWJOWAX,Charles Given,12/18/1927,Egypt
51,KNWDKSLEWZ,Adalberto Donald,12/24/1928,UK
52,HVALKHSCYX,Yevette Mars,1/11/1934,USA
53,EIAYFDLUDE,Asley Aparicio,9/27/1937,Egypt
54,CVMSTSHCMU,Daren Max,6/6/1939,Australia
55,JUKYDBVJCW,Teena Scudder,4/7/1941,Canada
56,GGPKTHXWAV,Claribel Brugh,7/11/1946,Japan
57,TLAPEPQVAT,Alec Wheless,12/17/1948,Austria
58,MPZAIFWNDV,Isaac Bachman,7/17/1949,Argentina
59,EBLWEEIFHB,Martha Lustig,5/30/1950,Belgium
60,ZDJOQJODVE,Elli Stannard,1/4/1959,Germany
61,SLGTYEORMO,Missy Steenberg,10/10/1962,Spain
62,SJJYSNIDGY,Luz Grable,11/5/1963,South Africa
63,OUJRQHFAKY,Judson Dudek,1/5/1968,Brazil
64,SEJINJLPQP,Max Bento,7/3/1969,China
65,PWSPQKNJTR,Hunter Coit,4/28/1972,China
66,GYVWBQCZHA,Savanna Pohlmann,9/8/1976,Mexico
67,APCDERNUSB,Eulah Agbayani,9/7/1978,Colombia
68,QDBWJIEJPF,Chelsie Lichtenberger,5/10/1981,Croatia
69,PHHJNPJTWF,Gertrud Daley,6/2/1982,India
70,GLEXJOOESX,Donn Wimberley,11/15/1982,Belgium
71,XMCBJHWOTX,Crissy Keyes,11/21/1983,Germany
72,XNCZKFNHWB,Maudie Edney,4/5/1985,Germany
73,VHTWLZBNTO,Detra Bright,9/9/1985,Croatia
74,XPLOCPYRST,Sung Stops,6/23/1989,Italy
75,BCMLVIRQFC,Lucile Hensler,7/4/1929,New Zealand
76,AAIDCDZQGZ,Chuck Casteel,12/30/1930,Greece
77,CKUIGZZLTD,Altha Delillo,7/2/1933,Turkey
78,SIYYUSTNQJ,Toshiko Cockrill,5/30/1936,Austria
79,DZKZTALPYB,Aaron Bulow,8/1/1937,Brazil
80,OCRAYZJDCO,Ralph Situ,12/8/1942,France
81,INVHEJWNUQ,Domenica Revard,5/4/1947,Brazil
82,ZDFUXPRDRT,Dixie Sweeney,4/3/1948,Egypt
83,CLQCMZVMCI,Ignacio Snow,8/20/1948,Australia
84,TATOBYRTXO,Lillie Wrona,12/9/1949,USA
85,MYPPVBHDNS,Lisa Dexter,6/3/1954,Egypt
86,PBONHOORZZ,Arletta Kepler,2/19/1955,Egypt
87,USPZYQXZTT,Kenyetta Barrentine,9/10/1958,China
88,MXVFHVWDOU,Delia Seabrook,2/20/1959,France
89,CAWKRCXXDB,Santos Eager,12/26/1959,China
90,FFYBVMXHGE,Stephnie Soldner,4/11/1961,India
91,OROHSUZKYL,Noah Baize,4/14/1965,South Africa
92,CDVZHIDMMK,Christopher Cano,1/3/1966,Belgium
93,RJUIYHUCWW,Karla Barbosa,3/18/1967,Belgium
94,KGABNIKJLG,Fernande Bergfeld,5/17/1968,Japan
95,QBVXBFVEIB,Tam Lo,3/29/1972,Spain
96,CQHIXOYGUL,Karissa Emery,7/7/1973,New Zealand
97,OLSFLYGRGK,Judy Prime,1/30/1980,Turkey
98,TKKLLYSHUA,Berenice Grindstaff,2/15/1980,Canada
99,DAOKFKUJIR,Peg Brenes,7/28/1991,Greece
100,QQXIUXQRCI,Jessie Fralick,1/18/1930,Canada
101,XBNBNUIJTH,Reggie Lightsey,7/1/1930,Austria
102,ZKKYXRHGPR,Peggie Rady,11/22/1937,UK
103,KNHLGVIHHK,Ivana Markel,2/1/1938,Mexico
104,EFJWPHWTSN,Marcelene Pinson,10/9/1942,China
105,MWEHHJRICE,Florene Greenhill,9/12/1943,Canada
106,IUYRTZOJIG,Nicholle Greene,12/21/1945,Belgium
107,ALRKZMSCOI,Lonna Mckillip,7/30/1946,Morocco
108,WMWKOVNTFT,Eula Jenny,12/26/1946,Germany
109,DFXOYIUYLO,Mauro Theis,5/14/1949,Greece
110,XZJEAUFUJI,Helga Mauro,4/27/1959,India
111,UBSBYUOKBI,Allegra Huntsman,9/12/1960,USA
112,IGCZSUDEFR,Robby Chavera,5/23/1963,UK
113,ZPDJWPXHOB,Teena Twining,11/5/1964,Brazil
114,JZFSBDIGFX,Solange Florence,11/1/1967,South Africa
115,ORKXRSREHR,Eldon Jester,6/16/1972,Egypt
116,GIFLEEWECH,Gena Soriano,2/12/1977,Mexico
117,YKPETSVYFU,Marita Carrington,1/2/1978,Croatia
118,EEFVDPGXJG,Karlyn Pion,11/17/1978,Brazil
119,HEIMZNIXLM,Hillary Cave,1/24/1982,New Zealand
120,NSKHAFUBZL,Lieselotte Mckechnie,9/23/1983,South Africa
121,JTBNSDXSWE,Missy Czerwinski,7/1/1984,Australia
122,VJMONYDEID,Dusti Naumann,7/23/1984,Mexico
123,BZZYFJVNJU,Rosalva Fuhr,8/6/1988,India
124,JSNIXBJCNA,Cammie Zamzow,5/4/1990,Greece
125,JQPJVXBFPR,Joesph Valtierra,1/13/1927,Italy
126,RLDVTCPPEK,Ladawn Phinney,8/2/1928,Croatia
127,GQJTRHENYL,Narcisa Krebbs,10/25/1936,Belgium
128,BKUBUKBAVA,Ilana Steffan,11/25/1936,USA
129,LVRGJBLUCB,Lorretta Love,3/26/1937,Argentina
130,NTAPITOZUM,Tashina Menefee,12/30/1944,Argentina
131,NEAWLNOAKM,Elvira Guillotte,8/31/1945,USA
132,XFBHSBKWQJ,Lorelei Sauseda,8/5/1947,Mexico
133,MPRRBRAMSP,Melvina Borden,11/10/1947,Japan
134,IKRFBFWWDD,Glennis Salzano,6/13/1952,Australia
135,KHZKQEBOXE,Dulcie Johansson,9/17/1952,India
136,TLPDOEKOLP,Luci Poisson,4/29/1958,Turkey
137,EMDHCBQAYO,Viviana Rosner,4/14/1962,China
138,THVZJTBKFZ,Thomasine Chappelle,12/6/1962,Canada
139,MXRJKEGGXO,Simon Napper,2/9/1969,South Africa
140,AKPSVYREGV,Kristofer Comstock,6/29/1973,Canada
141,DZUXOBSMPY,Kenia Hellickson,11/26/1974,Germany
142,BAUDOLFKGC,Marica Torgersen,12/2/1975,Germany
143,JOVCRFWQXM,Goldie Grissett,7/21/1977,Belgium
144,KXGNRGXOBE,Gertie Cornell,1/27/1980,Colombia
145,XCWMQNMVPB,Monet Henriques,6/20/1980,Italy
146,CZJIDFNIYS,Jonie Asaro,10/27/1980,Morocco
147,ETUVETMYGG,Roseline Leroux,3/9/1981,France
148,EJEWZYBXVA,Racquel Mcfatridge,6/10/1987,Belgium
149,RKNRHTRYXC,Eda Gathers,12/7/1990,USA
150,GDUHVDOCRJ,Audry Matsuo,12/13/1926,Turkey
151,NVCJOEGJOV,Waneta Stefaniak,1/30/1927,USA
152,TGLOGMQJAZ,Bettyann Ruane,1/10/1928,USA
153,YFOYCMQJFN,Jacalyn Hevey,10/15/1928,Morocco
154,PSLQYQQOZQ,Siu Mcnichols,7/23/1929,New Zealand
155,NONAWMGWWF,Candi Pantano,11/27/1929,Austria
156,LDAXQBIZJO,Edris Friddle,5/8/1934,France
157,LWQIRPPAWA,Ethelene Marine,12/29/1938,Mexico
158,EOPZNLERXO,Astrid Hilger,4/23/1939,Spain
159,KHSSXBLNCL,Kendrick Fortune,3/19/1941,Brazil
160,CCZUHUQHEA,Shavon Glass,4/27/1942,Japan
161,SQQEJUETIH,Monica Wadley,6/26/1951,USA
162,LWCHRXJBVL,Aleida Mosely,8/23/1953,Canada
163,PKSAWPAGSL,Aida Samora,6/9/1957,Austria
